epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
124,13237.7,0.75938,0.04276,0.0018,0.99509,0.99326,0.9946,0.86678,0.88119,0.043,0.00878,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,13342.7,0.74485,0.0424,0.00186,0.99485,0.99333,0.9946,0.86585,0.88153,0.04321,0.00876,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
126,13449.3,0.75648,0.04257,0.00178,0.99443,0.99291,0.99469,0.86599,0.88221,0.0435,0.00878,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
127,13553.6,0.73343,0.04178,0.0019,0.99359,0.99295,0.99471,0.86719,0.87794,0.04318,0.00877,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
128,13660.7,0.73038,0.04134,0.00182,0.99388,0.99277,0.99473,0.86826,0.87819,0.0427,0.00878,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618,0.004854,0.001618
129,13766.8,0.72827,0.04162,0.00182,0.99349,0.99411,0.99457,0.86751,0.87935,0.04266,0.00876,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552,0.004656,0.001552
130,13871.4,0.72275,0.04091,0.00186,0.99497,0.99257,0.99457,0.86613,0.88307,0.04312,0.00878,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,13973.5,0.58245,0.03162,0.00226,0.99419,0.99337,0.99455,0.86532,0.88753,0.04284,0.00883,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,14073.7,0.56813,0.03039,0.00218,0.99526,0.99214,0.99446,0.86514,0.88686,0.04241,0.00881,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,14174.2,0.55446,0.02936,0.00204,0.99502,0.99402,0.99456,0.86579,0.88752,0.04308,0.00883,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,14273.5,0.53759,0.02872,0.00211,0.9957,0.99384,0.99448,0.86601,0.88782,0.0431,0.0088,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
